"","No.","Time","Source","Destination","Protocol","Length","Info","hostname","last_registration_req_at","platform","health","last_config_fetch_at","total_flows","cpu_load","current_sw_version","vrf_id","created_at","enable_pid_lookup"
"11641",11077,225.779817,"65.54.189.173","10.0.2.15","TCP",343,"61863  >  2528 [PSH, ACK] Seq=6062 Ack=3245 Win=8760 Len=289","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11642",11078,225.817205,"65.54.189.173","10.0.2.15","TCP",84,"61863  >  2528 [PSH, ACK] Seq=6351 Ack=3245 Win=8760 Len=30","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11643",11081,225.844535,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=6381 Ack=3326 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11644",11083,225.84513,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=6381 Ack=3972 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11645",11084,226.007127,"65.54.189.173","10.0.2.15","TCP",64,"61863  >  2528 [PSH, ACK] Seq=6381 Ack=3972 Win=8760 Len=10","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11646",11086,226.18658,"65.54.189.173","10.0.2.15","TCP",64,"61863  >  2528 [PSH, ACK] Seq=6391 Ack=3972 Win=8760 Len=10","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11647",11087,226.187376,"65.54.189.173","10.0.2.15","TCP",75,"61863  >  2528 [PSH, ACK] Seq=6401 Ack=3972 Win=8760 Len=21","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11648",11089,226.187449,"65.54.189.173","10.0.2.15","TCP",63,"61863  >  2528 [PSH, ACK] Seq=6422 Ack=3972 Win=8760 Len=9","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11649",11090,226.187828,"65.54.189.173","10.0.2.15","TCP",63,"61863  >  2528 [PSH, ACK] Seq=6431 Ack=3972 Win=8760 Len=9","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11650",11092,226.189387,"65.54.189.173","10.0.2.15","TCP",64,"61863  >  2528 [PSH, ACK] Seq=6440 Ack=3972 Win=8760 Len=10","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11651",11093,226.19009,"65.54.189.173","10.0.2.15","TCP",270,"61863  >  2528 [PSH, ACK] Seq=6450 Ack=3972 Win=8760 Len=216","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11652",11095,226.190773,"65.54.189.173","10.0.2.15","TCP",815,"61863  >  2528 [PSH, ACK] Seq=6666 Ack=3972 Win=8760 Len=761","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11653",11103,226.376693,"65.54.189.173","10.0.2.15","TCP",463,"61863  >  2528 [PSH, ACK] Seq=7427 Ack=3972 Win=8760 Len=409","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11654",11104,226.380945,"65.54.189.173","10.0.2.15","TCP",218,"61863  >  2528 [PSH, ACK] Seq=7836 Ack=3972 Win=8760 Len=164","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11655",11106,226.381025,"65.54.189.173","10.0.2.15","TCP",330,"61863  >  2528 [PSH, ACK] Seq=8000 Ack=3972 Win=8760 Len=276","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11656",11128,226.559411,"65.54.189.173","10.0.2.15","TCP",807,"61863  >  2528 [PSH, ACK] Seq=8276 Ack=3972 Win=8760 Len=753","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11657",11129,226.559435,"65.54.189.173","10.0.2.15","TCP",401,"61863  >  2528 [PSH, ACK] Seq=9029 Ack=3972 Win=8760 Len=347","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11658",11192,226.745369,"65.54.189.173","10.0.2.15","TCP",689,"61863  >  2528 [PSH, ACK] Seq=9376 Ack=3972 Win=8760 Len=635","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11659",11193,226.785405,"65.54.189.173","10.0.2.15","TCP",320,"61863  >  2528 [PSH, ACK] Seq=10011 Ack=3972 Win=8760 Len=266","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11660",11197,226.920634,"65.54.189.173","10.0.2.15","TCP",566,"61863  >  2528 [PSH, ACK] Seq=10277 Ack=3972 Win=8760 Len=512","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11661",11198,226.920653,"65.54.189.173","10.0.2.15","TCP",220,"61863  >  2528 [PSH, ACK] Seq=10789 Ack=3972 Win=8760 Len=166","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11662",11200,226.923774,"65.54.189.173","10.0.2.15","TCP",98,"61863  >  2528 [PSH, ACK] Seq=10955 Ack=3972 Win=8760 Len=44","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11663",11201,226.95686,"65.54.189.173","10.0.2.15","TCP",166,"61863  >  2528 [PSH, ACK] Seq=10999 Ack=3972 Win=8760 Len=112","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11664",11209,227.10243,"65.54.189.173","10.0.2.15","TCP",308,"61863  >  2528 [PSH, ACK] Seq=11111 Ack=3972 Win=8760 Len=254","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11665",11210,227.103037,"65.54.189.173","10.0.2.15","TCP",566,"61863  >  2528 [PSH, ACK] Seq=11365 Ack=3972 Win=8760 Len=512","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11666",11212,227.103093,"65.54.189.173","10.0.2.15","TCP",516,"61863  >  2528 [PSH, ACK] Seq=11877 Ack=3972 Win=8760 Len=462","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11667",11213,227.10441,"65.54.189.173","10.0.2.15","TCP",374,"61863  >  2528 [PSH, ACK] Seq=12339 Ack=3972 Win=8760 Len=320","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11668",11221,227.133912,"65.54.189.173","10.0.2.15","TCP",484,"61863  >  2528 [PSH, ACK] Seq=12659 Ack=3972 Win=8760 Len=430","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11669",11238,227.272222,"65.54.189.173","10.0.2.15","TCP",566,"61863  >  2528 [PSH, ACK] Seq=13089 Ack=3972 Win=8760 Len=512","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11670",11241,227.278343,"65.54.189.173","10.0.2.15","TCP",383,"61863  >  2528 [PSH, ACK] Seq=13601 Ack=3972 Win=8760 Len=329","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11671",11242,227.280779,"65.54.189.173","10.0.2.15","TCP",356,"61863  >  2528 [PSH, ACK] Seq=13930 Ack=3972 Win=8760 Len=302","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11672",11247,227.309558,"65.54.189.173","10.0.2.15","TCP",452,"61863  >  2528 [PSH, ACK] Seq=14232 Ack=3972 Win=8760 Len=398","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11673",11437,232.710267,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=14630 Ack=4935 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11674",11453,232.888443,"65.54.189.173","10.0.2.15","TCP",90,"61863  >  2528 [PSH, ACK] Seq=14630 Ack=4935 Win=8760 Len=36","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11675",12379,244.32087,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=14666 Ack=4946 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11676",12383,244.490447,"65.54.189.173","10.0.2.15","TCP",136,"61863  >  2528 [PSH, ACK] Seq=14666 Ack=4946 Win=8760 Len=82","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
